2025/12/11 17:25:56 [INFO ] GSF Suite startet...
2025/12/11 17:25:56 [INFO ] Starte RPC Server auf :8080...
2025/12/11 17:25:56 [INFO ] Server läuft. Sende POST Requests an localhost:8080/rpc
2025/12/11 17:26:01 [INFO ] System Status OK. Goroutines: 42
2025/12/11 17:26:06 [INFO ] System Status OK. Goroutines: 42
2025/12/11 17:26:11 [INFO ] System Status OK. Goroutines: 42
2025/12/11 17:26:16 [INFO ] System Status OK. Goroutines: 42
2025/12/11 17:26:21 [INFO ] System Status OK. Goroutines: 42
2025/12/11 17:26:26 [INFO ] System Status OK. Goroutines: 42
2025/12/11 17:26:31 [INFO ] System Status OK. Goroutines: 42
2025/12/11 17:26:36 [INFO ] System Status OK. Goroutines: 42
2025/12/11 17:26:36 [INFO ] RPC Call empfangen: Hallo GSF!
2025/12/11 17:26:41 [INFO ] System Status OK. Goroutines: 42
2025/12/11 17:26:46 [INFO ] System Status OK. Goroutines: 42
2025/12/11 17:26:51 [INFO ] System Status OK. Goroutines: 42
